starttime,stoptime,ss_lat,ss_long,es_lat,es_long
2013-07-01T00:18:09,2013-07-01T00:28:42,40.74238787,-73.99726235,40.73223272,-73.98889957
2013-07-01T00:18:11,2013-07-01T00:46:12,40.75466591,-73.99138152,40.768254,-73.988639
2013-07-01T00:18:19,2013-07-01T00:25:02,40.74195138,-74.00803013,40.73935542,-73.99931783
2013-07-01T00:18:29,2013-07-01T00:39:32,40.76227205,-73.98788205,40.72453734,-73.98185424
2013-07-01T00:18:32,2013-07-01T00:55:04,40.7149787,-74.013012,40.75645824,-73.99372222
2013-07-01T00:18:33,2013-07-01T00:32:27,40.73704984,-73.99009296,40.75044999,-73.99481051
2013-07-01T00:18:44,2013-07-01T00:26:27,40.75299641,-73.98721619,40.74290902,-73.97706058
2013-07-01T00:18:51,2013-07-01T00:53:57,40.74317449,-74.00366443,40.751396,-74.005226
2013-07-01T00:19:12,2013-07-01T00:51:31,40.70569254,-74.01677685,40.76227205,-73.98788205
2013-07-01T00:19:16,2013-07-01T00:32:05,40.75172632,-73.98753523,40.76584941,-73.98690506
2013-07-01T00:19:28,2013-07-01T00:23:03,40.72467721,-73.98783413,40.751396,-74.005226
2013-07-01T00:19:31,2013-07-01T00:22:10,40.71146364,-74.00552427,40.70706456,-74.00731853
2013-07-01T00:20:07,2013-07-01T00:36:15,40.680342423,-73.9557689392,40.70827295,-73.96834101
2013-07-01T00:20:42,2013-07-01T00:43:53,40.7405826,-74.00550867,40.74780373,-73.9734419
2013-07-01T00:20:44,2013-07-01T00:24:31,40.73038599,-74.00214988,40.75066386,-74.00176802
2013-07-01T00:20:51,2013-07-01T00:29:47,40.72185379,-74.00771779,40.72743423,-73.99379025
2013-07-01T00:21:22,2013-07-01T00:32:41,40.76461837,-73.98789473,40.76030096,-73.99884222
2013-07-01T00:21:42,2013-07-01T00:34:21,40.73535398,-74.00483091,40.71625008,-74.0091059
2013-07-01T00:21:56,2013-07-01T00:40:29,40.76064679,-73.98442659,40.71893904,-73.99266288
2013-07-01T00:24:04,2013-07-01T00:42:43,40.73047309,-73.98672378,40.73827428,-73.98751968
2013-07-01T00:24:26,2013-07-01T00:38:03,40.7489006,-73.97604882,40.76095756,-73.96724467
2013-07-01T00:25:16,2013-07-01T00:44:55,40.74290902,-73.97706058,40.72019576,-73.98997825
2013-07-01T00:25:22,2013-07-01T00:45:37,40.74290902,-73.97706058,40.72019576,-73.98997825
2013-07-01T00:25:31,2013-07-01T00:49:06,40.72229346,-73.99147535,40.70827295,-73.96834101
2013-07-01T00:25:31,2013-07-01T00:40:15,40.71910537,-73.99973337,40.71273266,-74.0046073
2013-07-01T00:25:51,2013-07-01T00:42:51,40.7652654,-73.98192338,40.75660359,-73.9979009
2013-07-01T00:26:30,2013-07-01T00:51:56,40.7454973,-74.00197139,40.716887,-73.963198
2013-07-01T00:26:34,2013-07-01T00:52:15,40.746745,-74.007756,40.716887,-73.963198
2013-07-01T00:26:35,2013-07-01T00:27:41,40.74290902,-73.97706058,40.74290902,-73.97706058
2013-07-01T00:26:35,2013-07-01T00:41:43,40.72453734,-73.98185424,40.75797322,-73.96603308
2013-07-01T00:26:38,2013-07-01T00:55:08,40.71273266,-74.0046073,40.680342423,-73.9557689392
2013-07-01T00:26:39,2013-07-01T00:47:28,40.69331716,-73.95381995,40.70853074,-73.96408963
2013-07-01T00:26:47,2013-07-01T00:47:52,40.74345335,-74.00004031,40.75934501,-73.96759673
2013-07-01T00:26:58,2013-07-01T00:40:51,40.71743998,-74.00583475,40.73047309,-73.98672378
2013-07-01T00:28:01,2013-07-01T00:40:17,40.71910537,-73.99973337,40.71273266,-74.0046073
2013-07-01T00:28:05,2013-07-01T00:39:59,40.73047309,-73.98672378,40.71427487,-73.98990025
2013-07-01T00:28:10,2013-07-01T00:38:53,40.75066386,-74.00176802,40.74195138,-74.00803013
2013-07-01T00:28:43,2013-07-01T00:42:53,40.722055,-73.989111,40.73172428,-74.00674436
2013-07-01T00:28:45,2013-07-01T00:31:51,40.74691959,-74.00451887,40.75019995,-73.99093085
2013-07-01T00:29:06,2013-07-01T00:40:23,40.71910537,-73.99973337,40.71273266,-74.0046073
2013-07-01T00:29:11,2013-07-01T00:37:17,40.72679454,-73.99695094,40.72521311,-73.97768752
2013-07-01T00:29:35,2013-07-01T00:47:52,40.69089272,-73.99612349,40.6809833854,-73.9500479759
2013-07-01T00:30:03,2013-07-01T00:37:46,40.7403432,-73.98955109,40.73492695,-73.99200509
